feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,label
0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,0.67,-0.12,0.89,-0.34,0.56,-0.78,0.91,-0.23,0.45,-0.67,0.12,-0.89,0.34,-0.56,0.78,-0.91,0.23,-0.45,1
-0.15,0.32,-0.58,0.74,-0.91,0.28,-0.63,0.85,-0.19,0.41,-0.72,0.96,-0.24,0.53,-0.81,0.17,-0.46,0.69,-0.93,0.26,-0.59,0.82,-0.18,0.47,-0.73,0.94,-0.29,0.61,-0.88,0.21,-0.54,0.79,-0.13,0.38,-0.65,0.87,-0.22,0.49,-0.76,0.98,-0.31,0.64,-0.89,0.25,-0.57,0.83,-0.16,0.44,-0.71,0.92,-0.27,0.56,-0.84,0.19,-0.48,0.75,-0.97,0.33,-0.62,0.86,-0.23,0.51,-0.78,0.14,-0.42,0.68,-0.95,0.30,-0.66,0.88,-0.20,0.52,-0.77,0.11,-0.39,0.67,-0.90,0.24,-0.55,0.81,-0.17,0.43,-0.70,0.93,-0.28,0.58,-0.85,0.21,-0.50,0.76,-0.99,0.35,-0.64,0.87,-0.26,0.54,-0.82,0.18,-0.47,0.73,-0.96,0.31,-0.63,0.86,-0.22,0.53,-0.79,0.15,-0.41,0.69,-0.94,0.29,-0.60,0.84,-0.19,0.48,-0.75,0.98,-0.34,0.65,-0.88,0.25,-0.57,0.83,-0.16,0.45,-0.72,0.91,1
0.05,-0.08,0.11,-0.14,0.17,-0.20,0.23,-0.26,0.29,-0.32,0.35,-0.38,0.41,-0.44,0.47,-0.50,0.53,-0.56,0.59,-0.62,0.65,-0.68,0.71,-0.74,0.77,-0.80,0.83,-0.86,0.89,-0.92,0.95,-0.98,0.02,-0.05,0.08,-0.11,0.14,-0.17,0.20,-0.23,0.26,-0.29,0.32,-0.35,0.38,-0.41,0.44,-0.47,0.50,-0.53,0.56,-0.59,0.62,-0.65,0.68,-0.71,0.74,-0.77,0.80,-0.83,0.86,-0.89,0.92,-0.95,0.98,-0.01,0.04,-0.07,0.10,-0.13,0.16,-0.19,0.22,-0.25,0.28,-0.31,0.34,-0.37,0.40,-0.43,0.46,-0.49,0.52,-0.55,0.58,-0.61,0.64,-0.67,0.70,-0.73,0.76,-0.79,0.82,-0.85,0.88,-0.91,0.94,-0.97,0.01,-0.03,0.06,-0.09,0.12,-0.15,0.18,-0.21,0.24,-0.27,0.30,-0.33,0.36,-0.39,0.42,-0.45,0.48,-0.51,0.54,-0.57,0.60,-0.63,0.66,-0.69,0.72,-0.75,0.78,-0.81,0.84,-0.87,0
-0.02,0.04,-0.06,0.08,-0.10,0.12,-0.14,0.16,-0.18,0.20,-0.22,0.24,-0.26,0.28,-0.30,0.32,-0.34,0.36,-0.38,0.40,-0.42,0.44,-0.46,0.48,-0.50,0.52,-0.54,0.56,-0.58,0.60,-0.62,0.64,-0.66,0.68,-0.70,0.72,-0.74,0.76,-0.78,0.80,-0.82,0.84,-0.86,0.88,-0.90,0.92,-0.94,0.96,-0.98,0.01,-0.03,0.05,-0.07,0.09,-0.11,0.13,-0.15,0.17,-0.19,0.21,-0.23,0.25,-0.27,0.29,-0.31,0.33,-0.35,0.37,-0.39,0.41,-0.43,0.45,-0.47,0.49,-0.51,0.53,-0.55,0.57,-0.59,0.61,-0.63,0.65,-0.67,0.69,-0.71,0.73,-0.75,0.77,-0.79,0.81,-0.83,0.85,-0.87,0.89,-0.91,0.93,-0.95,0.97,-0.99,0.02,-0.04,0.06,-0.08,0.10,-0.12,0.14,-0.16,0.18,-0.20,0.22,-0.24,0.26,-0.28,0.30,-0.32,0.34,-0.36,0.38,-0.40,0.42,-0.44,0.46,-0.48,0.50,-0.52,0.54,-0.56,0
0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,0.52,-0.39,0.26,-0.13,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.91,0.78,-0.65,1
-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.10,-0.21,0.32,-0.43,0.54,-0.65,0.76,-0.87,0.98,-0.09,0.20,-0.31,0.42,-0.53,0.64,-0.75,0.86,-0.97,0.08,-0.19,0.30,-0.41,0.52,-0.63,0.74,-0.85,0.96,-0.07,0.18,-0.29,0.40,-0.51,0.62,-0.73,0.84,-0.95,0.06,-0.17,0.28,-0.39,0.50,-0.61,0.72,-0.83,0.94,-0.05,0.16,-0.27,0.38,-0.49,0.60,-0.71,0.82,-0.93,0.04,-0.15,0.26,-0.37,0.48,-0.59,0.70,-0.81,0.92,-0.03,0.14,-0.25,0.36,-0.47,0.58,-0.69,0.80,-0.91,0.02,-0.13,0.24,-0.35,0.46,-0.57,0.68,-0.79,0.90,-0.01,0.12,-0.23,0.34,-0.45,0.56,-0.67,0.78,-0.89,0.00,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.10,-0.21,0.32,-0.43,0.54,-0.65,0.76,-0.87,0.98,-0.09,0.20,-0.31,0.42,-0.53,0.64,-0.75,0.86,-0.97,0.08,0
0.88,-0.76,0.64,-0.52,0.40,-0.28,0.16,-0.04,0.92,-0.80,0.68,-0.56,0.44,-0.32,0.20,-0.08,0.96,-0.84,0.72,-0.60,0.48,-0.36,0.24,-0.12,0.00,-0.88,0.76,-0.64,0.52,-0.40,0.28,-0.16,0.04,-0.92,0.80,-0.68,0.56,-0.44,0.32,-0.20,0.08,-0.96,0.84,-0.72,0.60,-0.48,0.36,-0.24,0.12,-0.00,0.88,-0.76,0.64,-0.52,0.40,-0.28,0.16,-0.04,0.92,-0.80,0.68,-0.56,0.44,-0.32,0.20,-0.08,0.96,-0.84,0.72,-0.60,0.48,-0.36,0.24,-0.12,0.00,-0.88,0.76,-0.64,0.52,-0.40,0.28,-0.16,0.04,-0.92,0.80,-0.68,0.56,-0.44,0.32,-0.20,0.08,-0.96,0.84,-0.72,0.60,-0.48,0.36,-0.24,0.12,-0.00,0.88,-0.76,0.64,-0.52,0.40,-0.28,0.16,-0.04,0.92,-0.80,0.68,-0.56,0.44,-0.32,0.20,-0.08,0.96,-0.84,0.72,-0.60,0.48,-0.36,0.24,-0.12,0.00,1
0.01,-0.02,0.03,-0.04,0.05,-0.06,0.07,-0.08,0.09,-0.10,0.11,-0.12,0.13,-0.14,0.15,-0.16,0.17,-0.18,0.19,-0.20,0.21,-0.22,0.23,-0.24,0.25,-0.26,0.27,-0.28,0.29,-0.30,0.31,-0.32,0.33,-0.34,0.35,-0.36,0.37,-0.38,0.39,-0.40,0.41,-0.42,0.43,-0.44,0.45,-0.46,0.47,-0.48,0.49,-0.50,0.51,-0.52,0.53,-0.54,0.55,-0.56,0.57,-0.58,0.59,-0.60,0.61,-0.62,0.63,-0.64,0.65,-0.66,0.67,-0.68,0.69,-0.70,0.71,-0.72,0.73,-0.74,0.75,-0.76,0.77,-0.78,0.79,-0.80,0.81,-0.82,0.83,-0.84,0.85,-0.86,0.87,-0.88,0.89,-0.90,0.91,-0.92,0.93,-0.94,0.95,-0.96,0.97,-0.98,0.99,-0.01,0.02,-0.03,0.04,-0.05,0.06,-0.07,0.08,-0.09,0.10,-0.11,0.12,-0.13,0.14,-0.15,0.16,-0.17,0.18,-0.19,0.20,-0.21,0.22,-0.23,0.24,-0.25,0.26,-0.27,0.28,0
-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,-0.55,0.66,-0.77,0.88,-0.99,0.11,-0.22,0.33,-0.44,0.55,-0.66,0.77,-0.88,0.99,-0.11,0.22,-0.33,0.44,1
0.67,-0.54,0.41,-0.28,0.15,-0.02,0.89,-0.76,0.63,-0.50,0.37,-0.24,0.11,-0.98,0.85,-0.72,0.59,-0.46,0.33,-0.20,0.07,-0.94,0.81,-0.68,0.55,-0.42,0.29,-0.16,0.03,-0.90,0.77,-0.64,0.51,-0.38,0.25,-0.12,0.99,-0.86,0.73,-0.60,0.47,-0.34,0.21,-0.08,0.95,-0.82,0.69,-0.56,0.43,-0.30,0.17,-0.04,0.91,-0.78,0.65,-0.52,0.39,-0.26,0.13,-0.00,0.87,-0.74,0.61,-0.48,0.35,-0.22,0.09,-0.96,0.83,-0.70,0.57,-0.44,0.31,-0.18,0.05,-0.92,0.79,-0.66,0.53,-0.40,0.27,-0.14,0.01,-0.88,0.75,-0.62,0.49,-0.36,0.23,-0.10,0.97,-0.84,0.71,-0.58,0.45,-0.32,0.19,-0.06,0.93,-0.80,0.67,-0.54,0.41,-0.28,0.15,-0.02,0.89,-0.76,0.63,-0.50,0.37,-0.24,0.11,-0.98,0.85,-0.72,0.59,-0.46,0.33,-0.20,0.07,-0.94,0.81,-0.68,0.55,-0.42,0.29,-0.16,1
